artist_id,artist_name,purpose_premium_pack
1yPdXrLhRc50YbwiwCr1uN,Johnning,False
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,False
4tvKz56Tr39bkhcQUTO0Xr,Angus & Julia Stone,False
3I3Fz1DeUY0icXFvOjbXm7,Methyl Ethel,False
163tK9Wjr9P9DmM0AVK7lm,Lorde,False
6n28c9qs9hNGriNa72b26u,PNAU,False
7ymhGfvQPQLHU20RovzLMJ,Thundamentals,False
6zVFRTB0Y1whWyH7ZNmywf,Tash Sultana,False
1iUTUix5kea176M0uJTsh4,DMA'S,False
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,False
6NFyaN9PMCDZ3LKxGwHAXt,Illy,False
0UZ1nu3kcdNlCoiKRjmSSY,Peking Duk,False
6l5dAUNRhHnRSPPmRJSKQr,Marcus Marr,False
23IZADrJHPStZ6aMxJVq3s,Jarryd James,False
3fmMaLC5jjf2N4EC2kTx0u,Hermitude,False
6nS5roXSAGhTGr34W6n7Et,Disclosure,False
6UcJxoeHWWWyT5HZP064om,Chet Faker,False
1hzfo8twXdOegF3xireCYs,Milky Chance,False
7xUZ4069zcyBM4Bn10NQ1c,Ásgeir,False
4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,False
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,False
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,False
7CIW23FQUXPc1zebnO1TDG,Matt Corby,False
5gcDZA9xXCOspWgQilUYIu,The Preatures,False
3Bd1cgCjtCI32PYvDC3ynO,London Grammar,False
3JhNCzhSMTxs9WLGJJxWOY,Macklemore,False
4dwdTW1Lfiq0cM8nBAqIIz,Of Monsters and Men,False
3XHO7cRUPCLOr6jwp8vsx5,alt-J,False
3gd8FJtBJtkRxdfbTu19U2,Mumford & Sons,False
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,False
2AsusXITU8P25dlRNhcAbG,Gotye,False
7mnBLXK823vNxN3UWB7Gfz,The Black Keys,False
2NqgE99Ll5vOTvmbN7O2R6,Boy & Bear,False
63MQldklfxkjYDoUE4Tppz,M83,False
0Ou0138wEd8XWebhc4j7O0,San Cisco,False
3vn7rk7VNMfDhuZNB9sDYP,360,False
76KHdORVQMt7L6nVzvOUph,The Jezabels,False
74WcfqC2hmUFHEJs0PDqYi,Little Red,False
1m3jswEIBazYObuVL9NriQ,Ou Est Le Swimming Pool,False
25ou7Y6W7L1fcMoCZMbf86,Birds Of Tokyo,False
5kp9Qhzri9LrDkzrtjt5Sh,Adrian Lux,False
5nLYd9ST4Cnwy6NHaCxbj8,CeeLo Green,False
0Ya43ZKWHTKkAbkoJJkwIB,The Wombats,False
4MlrZKzgi3UuZi2iDKjOar,Art vs Science,False
1xU878Z1QtBldR7ru9owdU,Phoenix,False
